                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3573,                 3.9278,                 1.3905,                0.56722,                0.30285,                0.32627,                0.25613,                 1.1429,                 3.3429,                 1.1509,               9.09e-05,               9.09e-05,               9.09e-05
                      2,                 1.1636,                 1.8614,                 1.2426,                0.56961,                0.30924,                0.41405,                0.29398,                  1.245,                 2.8922,                 1.2814,               0.000189,               0.000189,               0.000189
                      3,                 1.0856,                 1.5356,                 1.2195,                0.59546,                0.53433,                0.53974,                0.42291,                 1.0616,                 2.0247,                 1.1994,             0.00028512,             0.00028512,             0.00028512
                      4,                 1.0032,                 1.2832,                 1.1715,                0.49465,                 0.4184,                0.43305,                0.31165,                 1.2563,                 2.9859,                  1.374,             0.00037926,             0.00037926,             0.00037926
                      5,                 1.0458,                 1.2855,                 1.1916,                0.50455,                0.45251,                0.40664,                0.28737,                 1.4332,                 5.0118,                 1.5543,             0.00047142,             0.00047142,             0.00047142
                      6,                 1.0811,                 1.2726,                 1.2129,                0.56261,                0.37693,                0.47069,                 0.3028,                  1.414,                 2.7669,                 1.4981,              0.0005616,              0.0005616,              0.0005616
                      7,                  1.092,                 1.1513,                 1.2001,                0.61123,                0.53663,                0.53599,                0.35422,                 1.2976,                 3.1459,                 1.4183,              0.0006498,              0.0006498,              0.0006498
                      8,                  1.034,                 1.1318,                 1.1908,                0.35344,                0.37922,                0.32718,                0.20932,                 1.3921,                 3.1522,                 1.5534,             0.00073603,             0.00073603,             0.00073603
                      9,                 1.0131,                 1.0946,                 1.1503,                 0.4741,                0.51781,                0.49526,                0.30134,                 1.3956,                 2.6825,                 1.5212,             0.00082027,             0.00082027,             0.00082027
                     10,                 1.0387,                  1.157,                 1.1919,                0.46676,                0.35266,                0.41547,                0.29628,                 1.3137,                 2.3466,                 1.4298,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.0165,                 1.1552,                 1.2018,                0.54999,                 0.4745,                0.53506,                0.37929,                 1.3092,                 2.4507,                 1.4395,             0.00081901,             0.00081901,             0.00081901
                     12,                0.99287,                 1.0204,                 1.1487,                0.69687,                0.53507,                0.54033,                0.34284,                  1.289,                 3.5663,                 1.3887,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.0518,                 1.0896,                 1.2156,                0.48586,                 0.5664,                0.49517,                0.29946,                 1.3995,                 2.2167,                  1.541,             0.00080101,             0.00080101,             0.00080101
                     14,                0.99943,                 1.0626,                 1.1914,                0.70037,                0.45807,                0.61298,                0.41297,                 1.2997,                  1.766,                 1.3855,             0.00079201,             0.00079201,             0.00079201
                     15,                0.95997,                0.95491,                 1.1463,                0.67693,                0.46318,                0.48847,                0.32694,                  1.235,                 1.9475,                 1.3652,             0.00078301,             0.00078301,             0.00078301
                     16,                0.93513,                0.95887,                 1.1419,                0.87918,                0.47334,                 0.5741,                0.40116,                 1.2037,                 1.7318,                 1.3736,             0.00077401,             0.00077401,             0.00077401
                     17,                0.94746,                0.92189,                 1.1421,                 0.6498,                0.53758,                0.55045,                0.38044,                 1.2281,                 1.4259,                 1.3584,             0.00076501,             0.00076501,             0.00076501
                     18,                0.92704,                 0.9444,                  1.148,                0.59531,                0.59134,                0.58837,                0.38202,                 1.2232,                 1.5868,                 1.4119,             0.00075602,             0.00075602,             0.00075602
                     19,                 0.8972,                0.89343,                   1.12,                0.84558,                0.46933,                0.65714,                 0.4235,                 1.2033,                 1.4613,                 1.3984,             0.00074702,             0.00074702,             0.00074702
